DateTime;Media;Category/Gatra;Subcategory;Headline;Detail
202209200036;sumbarsatu;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Pileg 2024 PAN Agam Targetkan 10 Kursi di DPRD Agam;904
202202071114;kabarsumbar;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;PAN Resmi Usulkan Ekos Albar Jadi Wawako Padang;905
202202031511;kabarsumbar;Politik;Konflik Kelompok Kepentingan di luar Paprpol;DPRD Kota Solok Fokus Kawal Hak Angket Penyempurnaan APBD 2022;906
202201171037;kabarsumbar;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Partai Bulan Bintang Kota Solok Gelar Konsolidasi Jelang Verifikasi KPU;907
202110282017;kabarsumbar;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Wabup Solok Bantah Tudingan Mahar Politik Jelang Pilkada 2020;908
202109021345;kabarsumbar;Politik;Konflik Kelompok Kepentingan di luar Paprpol;30 Calon Komisioner KPID Sumbar Hadapi Ujian Tulis;909
202105101443;kabarsumbar;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;PKS Ajukan Muharlion dan Mulyadi Muslim Isi Kursi Wawako Padang;910
202210161544;sakanews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Wabup Asahan Lepas Jalan Sehat Gebyar HUT Partai Golkar;101
202210152109;sakanews;Politik;Konflik  antar Pendukung Parpol terkait Pemilu;24 Paprpol Ikuti Sosialisasi Verifikasi Faktual KPU Pringsewu;102
202210132235;sakanews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Hadapi Verifikasi Faktual, PKP Asahan Rapat Koordinasi;103
202209091941;sakanews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Hari Jadi ke-21 Tahun, Demokrat Pesawaran Berbagi;104
202209071042;sakanews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Pemprov Lampung Bahas Anggaran Penyelenggaraan Pilkada Serentak Tahun 2024;105
202209062024;sakanews;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Puan PAN Pesawaran Beri Bantuan Penderita Gagal Ginjal;106
202209021803;sakanews;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Gubernur Arinal Hadiri Rakerda DPD PDIP Lampung;107
202208251251;sakanews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Puan Maharani Kunjungi Pesawaran Tanyakan Keluhan Nelayan;108
202208241948;sakanews;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;Strategi Demokrat Lampung Hadapi Pemilu 2024;109
202208051909;sakanews;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Dapat Rejeki dari Hasil Panen, Paisaludin Berbagi 136 Paket Sembako;110
202104051059;tribunpekanbaru;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Jarang Terdengar, Putra Megawati Ini Jarang Tersorot, Prananda Prabowo Bantu Mega di Balik Layar;1101
202102011653;tribunpekanbaru;Politik;Konflik antar Pendukung Parpol Terkait Pemilu;KUDETA? AHY Urai Ada Gerakan Politik Ambil Alih Kepemimpinan Demokrat,Sebut 5 Orang, Siapa?;1102
202012121737;tribunpekanbaru;Politik;Konflik Kelompok Kepentingan di luar Paprpol;Mbak You Ramal Pergantian Presiden, Politik Memanas, Hingga Warga Jakarta Diminta Waspada Tahun 2021;1103
202009172157;tribunpekanbaru;Politik;Konflik Kelompok Kepentingan di luar Paprpol;LAM Riau Seolah Menuding KAMI Provokator dan Buat Gaduh, Presidium KAMI Berikan Penjelasan Menohok;1104
